Year,Elevation,Total,UNK,Older,Yearling
1986,mid,14,2,5,7
1987,mid,19,13,5,1
1988,mid,16,0,6,10
1989,mid,15,3,8,4
1990,mid,15,1,11,3
1991,mid,17,0,13,4
1992,mid,20,1,10,9
1993,mid,15,0,9,6
1994,mid,16,0,15,1
1995,mid,13,0,9,4
1996,mid,10,3,4,3
1997,high,6,1,3,2
1997,low,12,1,2,9
1997,mid,12,0,6,6
1998,high,13,1,4,8
1998,low,13,3,7,3
1998,mid,16,0,8,8
1999,high,12,3,3,6
1999,low,12,0,9,3
1999,mid,18,0,7,11
2000,high,4,3,1,0
2000,low,2,0,2,0
2000,mid,15,1,6,8
2001,high,11,1,8,2
2001,low,9,1,3,5
2001,mid,19,1,12,6
2002,high,19,2,9,8
2002,low,12,2,6,4
2002,mid,17,3,10,4
2003,high,18,0,10,8
2003,low,10,1,5,4
2003,mid,19,0,10,9
2004,high,25,0,19,6
2004,low,6,0,4,2
2004,mid,17,0,8,9
2005,high,19,2,10,7
2005,low,17,0,4,13
2005,mid,21,3,5,13
2006,high,20,0,11,9
2006,low,14,0,9,5
2006,mid,28,2,12,14
2007,high,20,0,14,6
2007,low,9,1,3,5
2007,mid,24,1,8,15
2008,high,9,0,8,1
2008,low,13,3,6,4
2008,mid,14,0,5,9
2009,high,3,0,1,2
2009,low,6,0,2,4
2009,mid,10,0,7,3
2010,high,9,0,3,6
2010,low,7,0,3,4
2010,mid,11,0,4,7
